city,municipality
אום בטין,אל קסום
אל סייד,אל קסום
דריג'את,אל קסום
כחלה,אל קסום
מולדה,אל קסום
מכחול,אל קסום
תראבין א-צאנע (יישוב),אל קסום
חמאם,אל-בטוף
עוזייר,אל-בטוף
רומאנה,אל-בטוף
רומת הייב,אל-בטוף
אביאל,אלונה
"גבעת ניל""י",אלונה
עמיקם,אלונה
אבשלום,אשכול
אוהד,אשכול
אורים,אשכול
בארי,אשכול
בני נצרים,אשכול
גבולות,אשכול
דקל,אשכול
חולית,אשכול
יבול,אשכול
ישע,אשכול
יתד,אשכול
כיסופים,אשכול
כרם שלום,אשכול
מבטחים,אשכול
מגן,אשכול
נווה,אשכול
ניר יצחק,אשכול
ניר עוז,אשכול
נירים,אשכול
סופה,אשכול
עין הבשור,אשכול
עין השלושה,אשכול
עמיעוז,אשכול
פרי גן,אשכול
צאלים,אשכול
צוחר,אשכול
רעים,אשכול
שדה ניצן,אשכול
שדי אברהם,אשכול
שלומית,אשכול
תלמי אליהו,אשכול
תלמי יוסף,אשכול
אביגדור,באר טוביה
אורות,באר טוביה
אחווה,באר טוביה
אמונים,באר טוביה
באר טוביה,באר טוביה
ביצרון,באר טוביה
בית עזרא,באר טוביה
גבעתי,באר טוביה
חצב,באר טוביה
חצור-אשדוד,באר טוביה
ינון,באר טוביה
כנות,באר טוביה
כפר אחים,באר טוביה
כפר ורבורג,באר טוביה
נווה מבטח,באר טוביה
ניר בנים,באר טוביה
,באר טוביה
עזר,באר טוביה
עזריקם,באר טוביה
ערוגות,באר טוביה
שדה עוזיהו,באר טוביה
שתולים,באר טוביה
תימורים,באר טוביה
תלמי יחיאל,באר טוביה
דחי,בוסתן אל-מרג'
כפר מצר,בוסתן אל-מרג'
ניין,בוסתן אל-מרג'
סולם,בוסתן אל-מרג'
בית קמה,בני שמעון
ברוש,בני שמעון
גבעות בר,בני שמעון
דבירה,בני שמעון
חצרים,בני שמעון
כרמים,בני שמעון
להב,בני שמעון
משמר הנגב,בני שמעון
נבטים,בני שמעון
סנסנה,בני שמעון
שובל,בני שמעון
שומרייה,בני שמעון
תאשור,בני שמעון
תדהר,בני שמעון
בית אלעזרי,ברנר
בניה,ברנר
גבעת ברנר,ברנר
גיבתון,ברנר
גן שלמה,ברנר
קדרון,ברנר
גן הדרום,גדרות
כפר אביב,גדרות
כפר מרדכי,גדרות
מישר,גדרות
משגב דב,גדרות
עשרת,גדרות
שדמה,גדרות
אבני איתן,גולן
אודם,גולן
אורטל,גולן
אל-רום,גולן
אלוני הבשן,גולן
אלי-עד,גולן
אניעם,גולן
אפיק,גולן
בני יהודה,גולן
גבעת יואב,גולן
גשור,גולן
חד-נס,גולן
חספין,גולן
יונתן,גולן
כנף,גולן
כפר חרוב,גולן
מבוא חמה,גולן
מיצר,גולן
מעלה גמלא,גולן
מרום גולן,גולן
נאות גולן,גולן
נוב,גולן
"נווה אטי""ב",גולן
נטור,גולן
עין זיוון,גולן
קדמת צבי,גולן
קלע,גולן
קשת,גולן
רמות,גולן
רמת מגשימים,גולן
שעל,גולן
אלון שבות,גוש עציון
אלעזר,גוש עציון
אספר,גוש עציון
בת עין,גוש עציון
הר גילה,גוש עציון
כפר עציון,גוש עציון
כרמי צור,גוש עציון
מגדל עוז,גוש עציון
מעלה עמוס,גוש עציון
נווה דניאל,גוש עציון
נוקדים,גוש עציון
קדר,גוש עציון
ראש צורים,גוש עציון
תקוע,גוש עציון
בית חשמונאי,גזר
בית עוזיאל,גזר
גזר,גזר
גני הדר,גזר
גני יוחנן,גזר
חולדה,גזר
"יד רמב""ם",גזר
יציץ,גזר
ישרש,גזר
"כפר ביל""ו",גזר
כפר בן נון,גזר
כפר שמואל,גזר
כרמי יוסף,גזר
מצליח,גזר
משמר איילון,גזר
משמר דוד,גזר
נוף איילון,גזר
נען,גזר
נצר סרני,גזר
סתרייה,גזר
עזריה,גזר
פדיה,גזר
פתחיה,גזר
רמות מאיר,גזר
שעלבים,גזר
אירוס,גן רווה 
בית חנן,גן רווה 
בית עובד,גן רווה 
גאליה,גן רווה 
גן שורק,גן רווה 
כפר הנגיד,גן רווה 
נטעים,גן רווה 
עיינות,גן רווה 
פלמחים,גן רווה 
אייל,דרום השרון 
אלישמע,דרום השרון 
בית ברל,דרום השרון 
גבעת השלושה,דרום השרון 
"גבעת ח""ן",דרום השרון 
גן חיים,דרום השרון 
גני עם,דרום השרון 
גת רימון,דרום השרון 
חגור,דרום השרון 
חורשים,דרום השרון 
ירחיב,דרום השרון 
ירקונה,דרום השרון 
"כפר מל""ל",דרום השרון 
כפר סירקין,דרום השרון 
מגשימים,דרום השרון 
מעש,דרום השרון 
מתן,דרום השרון 
נווה ימין,דרום השרון 
נווה ירק,דרום השרון 
נחשונים,דרום השרון 
ניר אליהו,דרום השרון 
נירית,דרום השרון 
עדנים,דרום השרון 
עינת,דרום השרון 
צופית,דרום השרון 
צור יצחק,דרום השרון 
צור נתן,דרום השרון 
רמת הכובש,דרום השרון 
רמות השבים,דרום השרון 
שדה ורבורג,דרום השרון 
שדי חמד,דרום השרון 
אביטל,הגלבוע
אדירים,הגלבוע
אומן,הגלבוע
בית אלפא,הגלבוע
בית השיטה,הגלבוע
ברק,הגלבוע
גבע,הגלבוע
גדיש,הגלבוע
גדעונה,הגלבוע
גן נר,הגלבוע
דבורה,הגלבוע
חבר,הגלבוע
חפצי-בה,הגלבוע
טייבה (בעמק),הגלבוע
טמרה (יזרעאל),הגלבוע
יזרעאל,הגלבוע
כפר יחזקאל,הגלבוע
מגן שאול,הגלבוע
מולדת,הגלבוע
מוקייבלה,הגלבוע
מיטב,הגלבוע
מלאה,הגלבוע
נאעורה,הגלבוע
ניר יפה,הגלבוע
עין חרוד (איחוד),הגלבוע
עין חרוד (מאוחד),הגלבוע
פרזון,הגלבוע
צנדלה,הגלבוע
רם-און,הגלבוע
רמת צבי,הגלבוע
תל יוסף,הגלבוע
איילת השחר,הגליל העליון
ברעם,הגליל העליון
גדות,הגליל העליון
גונן,הגליל העליון
דן,הגליל העליון
דפנה,הגליל העליון
הגושרים,הגליל העליון
חולתה,הגליל העליון
יפתח,הגליל העליון
יראון,הגליל העליון
כפר בלום,הגליל העליון
כפר גלעדי,הגליל העליון
כפר הנשיא,הגליל העליון
כפר סאלד,הגליל העליון
להבות הבשן,הגליל העליון
מחניים,הגליל העליון
מלכייה,הגליל העליון
מנרה,הגליל העליון
מעיין ברוך,הגליל העליון
משגב עם,הגליל העליון
נאות מרדכי,הגליל העליון
סאסא,הגליל העליון
עמיעד,הגליל העליון
עמיר,הגליל העליון
צבעון,הגליל העליון
קדרים,הגליל העליון
שדה נחמיה,הגליל העליון
שמיר,הגליל העליון
שניר,הגליל העליון
אילנייה,הגליל התחתון
ארבל,הגליל התחתון
בית קשת,הגליל התחתון
בית רימון,הגליל התחתון
גבעת אבני,הגליל התחתון
הודיות,הגליל התחתון
הזורעים,הגליל התחתון
כדורי,הגליל התחתון
כפר זיתים,הגליל התחתון
כפר חיטים,הגליל התחתון
כפר קיש,הגליל התחתון
לביא,הגליל התחתון
מסד,הגליל התחתון
מצפה,הגליל התחתון
מצפה נטופה,הגליל התחתון
שדה אילן,הגליל התחתון
שדמות דבורה,הגליל התחתון
שרונה,הגליל התחתון
חצבה,הערבה התיכונה
ספיר,הערבה התיכונה
עידן,הערבה התיכונה
עין יהב,הערבה התיכונה
פארן,הערבה התיכונה
צופר,הערבה התיכונה
צוקים,הערבה התיכונה
אדורה,הר חברון
אשכולות,הר חברון
חגי,הר חברון
טנא,הר חברון
כרמל,הר חברון
מעון,הר חברון
מצדות יהודה,הר חברון
נגוהות,הר חברון
סוסיה,הר חברון
סנסנה,הר חברון
עתניאל,הר חברון
פני חבר,הר חברון
שמעה,הר חברון
תלם,הר חברון
אבטין,זבולון
אורנים,זבולון
אושה,זבולון
ח'ואלד,זבולון
יגור,זבולון
כפר ביאליק,זבולון
כפר המכבי,זבולון
כפר הנוער הדתי,זבולון
כפר חסידים א',זבולון
כפר חסידים ב',זבולון
נופית,זבולון
ראס עלי,זבולון
רמת יוחנן,זבולון
שער העמקים,זבולון
אילות,חבל אילות
אליפז,חבל אילות
באר אורה,חבל אילות
גרופית,חבל אילות
יהל,חבל אילות
יטבתה,חבל אילות
לוטן,חבל אילות
נאות סמדר,חבל אילות
נווה חריף,חבל אילות
סמר,חבל אילות
קטורה,חבל אילות
שחרות,חבל אילות
בית גמליאל,חבל יבנה
בית רבן,חבל יבנה
בן זכאי,חבל יבנה
בני דרום,חבל יבנה
כרם יבנה (ישיבה),חבל יבנה
ניר גלים,חבל יבנה
קבוצת יבנה,חבל יבנה
אחיסמך,חבל מודיעין
בארות יצחק,חבל מודיעין
בית נחמיה,חבל מודיעין
בית עריף,חבל מודיעין
בן שמן (כפר נוער),חבל מודיעין
בן שמן (מושב),חבל מודיעין
בני עטרות,חבל מודיעין
ברקת,חבל מודיעין
"גבעת כ""ח",חבל מודיעין
גינתון,חבל מודיעין
גמזו,חבל מודיעין
חדיד,חבל מודיעין
טירת יהודה,חבל מודיעין
כפר דניאל,חבל מודיעין
כפר טרומן,חבל מודיעין
כפר רות,חבל מודיעין
כרם בן שמן ,חבל מודיעין
לפיד,חבל מודיעין
מבוא מודיעים,חבל מודיעין
מזור,חבל מודיעין
נופך,חבל מודיעין
נחלים,חבל מודיעין
רינתיה,חבל מודיעין
שילת,חבל מודיעין
באר גנים ,חוף אשקלון
בית שקמה,חוף אשקלון
ברכיה,חוף אשקלון
בת הדר,חוף אשקלון
גברעם,חוף אשקלון
גיאה,חוף אשקלון
הודייה,חוף אשקלון
זיקים,חוף אשקלון
חלץ,חוף אשקלון
יד מרדכי,חוף אשקלון
כוכב מיכאל,חוף אשקלון
כפר סילבר,חוף אשקלון
כרמייה,חוף אשקלון
מבקיעים,חוף אשקלון
משען,חוף אשקלון
ניצן,חוף אשקלון
ניצן ב',חוף אשקלון
ניצנים,חוף אשקלון
ניר ישראל,חוף אשקלון
נתיב העשרה,חוף אשקלון
תלמי יפה,חוף אשקלון
בית אורן,חוף הכרמל
בית חנניה,חוף הכרמל
בית צבי,חוף הכרמל
בת שלמה,חוף הכרמל
גבע כרמל,חוף הכרמל
דור,חוף הכרמל
הבונים,חוף הכרמל
החותרים,חוף הכרמל
כפר גלים,חוף הכרמל
"כרם מהר""ל",חוף הכרמל
מאיר שפיה,חוף הכרמל
מגדים,חוף הכרמל
מעגן מיכאל,חוף הכרמל
מעיין צבי,חוף הכרמל
נווה ים,חוף הכרמל
נחשולים,חוף הכרמל
ניר עציון,חוף הכרמל
עופר,חוף הכרמל
עין איילה,חוף הכרמל
עין הוד,חוף הכרמל
עין חוד,חוף הכרמל
עין כרמל,חוף הכרמל
עתלית,חוף הכרמל
צרופה,חוף הכרמל
קיסריה,חוף הכרמל
שדות ים,חוף הכרמל
אודים,חוף השרון
ארסוף,חוף השרון
בית יהושע,חוף השרון
בני ציון,חוף השרון
בצרה,חוף השרון
גליל ים,חוף השרון
געש,חוף השרון
חרוצים,חוף השרון
יקום,חוף השרון
כפר נטר,חוף השרון
קריית שלמה,חוף השרון
רשפון,חוף השרון
שפיים,חוף השרון
תל יצחק,חוף השרון
אל-עזי,יואב
בית גוברין,יואב
בית ניר,יואב
גלאון,יואב
גת (קיבוץ),יואב
ורדון,יואב
"כפר הרי""ף",יואב
כפר מנחם,יואב
נגבה,יואב
נחלה,יואב
סגולה,יואב
קדמה,יואב
רבדים,יואב
שדה יואב,יואב
בני דרור,לב השרון
גאולים,לב השרון
גנות הדר,לב השרון
חירות,לב השרון
ינוב,לב השרון
יעף,לב השרון
כפר הס,לב השרון
כפר יעבץ,לב השרון
כפר עבודה,לב השרון
משמרת,לב השרון
נורדייה,לב השרון
ניצני עוז,לב השרון
עזריאל,לב השרון
עין ורד,לב השרון
עין שריד,לב השרון
פורת,לב השרון
צור משה,לב השרון
שער אפרים,לב השרון
תנובות,לב השרון
אחוזם,לכיש
אליאב,לכיש
אמציה,לכיש
בני דקלים,לכיש
זוהר,לכיש
יד נתן,לכיש
לכיש,לכיש
מנוחה,לכיש
נהורה,לכיש
נוגה,לכיש
נטע,לכיש
"ניר ח""ן",לכיש
עוצם,לכיש
שדה דוד,לכיש
שדה משה,לכיש
שחר,לכיש
שקף,לכיש
תלמים,לכיש
אליפלט,מבואות החרמון
אמנון,מבואות החרמון
בית הלל,מבואות החרמון
דישון,מבואות החרמון
יובל,מבואות החרמון
כורזים,מבואות החרמון
כחל,מבואות החרמון
כרכום,מבואות החרמון
מרגליות,מבואות החרמון
משמר הירדן,מבואות החרמון
רמות נפתלי,מבואות החרמון
שאר ישוב,מבואות החרמון
שדה אליעזר,מבואות החרמון
אליקים,מגידו
גבעת עוז,מגידו
גלעד (אבן יצחק) ,מגידו
דלייה,מגידו
הזורע,מגידו
יקנעם (מושבה),מגידו
מגידו,מגידו
מדרך עוז,מגידו
משמר העמק,מגידו
עין העמק,מגידו
עין השופט,מגידו
רמות מנשה,מגידו
רמת השופט,מגידו
אבנת,מגילות ים המלח
אלמוג,מגילות ים המלח
בית הערבה,מגילות ים המלח
ורד יריחו,מגילות ים המלח
מצפה שלם,מגילות ים המלח
קליה,מגילות ים המלח
אדמית,מטה אשר
אחיהוד,מטה אשר
אילון,מטה אשר
אפק,מטה אשר
אשרת,מטה אשר
בוסתן הגליל,מטה אשר
בית העמק,מטה אשר
בן עמי,מטה אשר
בצת,מטה אשר
געתון,מטה אשר
גשר הזיו,מטה אשר
חניתה,מטה אשר
יחיעם,מטה אשר
יסעור,מטה אשר
כברי,מטה אשר
כליל,מטה אשר
כפר מסריק,מטה אשר
כפר ראש הנקרה,מטה אשר
לוחמי הגיטאות,מטה אשר
לימן,מטה אשר
מצובה,מטה אשר
נס עמים,מטה אשר
נתיב השיירה,מטה אשר
סער,מטה אשר
עברון,מטה אשר
עין המפרץ,מטה אשר
עמקה,מטה אשר
עראמשה,מטה אשר
רגבה,מטה אשר
שבי ציון,מטה אשר
שייח' דנון,מטה אשר
שמרת,מטה אשר
בית חורון,מטה בנימין
גבע בנימין,מטה בנימין
גבעון החדשה,מטה בנימין
דולב,מטה בנימין
חלמיש,מטה בנימין
חשמונאים,מטה בנימין
טלמון,מטה בנימין
כוכב השחר,מטה בנימין
כוכב יעקב,מטה בנימין
כפר אדומים,מטה בנימין
כפר האורנים,מטה בנימין
מבוא חורון,מטה בנימין
מעלה לבונה,מטה בנימין
מעלה מכמש,מטה בנימין
מצפה יריחו,מטה בנימין
מתתיהו,מטה בנימין
נחליאל,מטה בנימין
"ניל""י",מטה בנימין
נעלה,מטה בנימין
עטרת,מטה בנימין
עלי,מטה בנימין
עלמון,מטה בנימין
עפרה,מטה בנימין
פסגות,מטה בנימין
רימונים,מטה בנימין
שילה,מטה בנימין
אביעזר,מטה יהודה
אבן ספיר,מטה יהודה
אדרת,מטה יהודה
אורה,מטה יהודה
איתנים,מטה יהודה
אשתאול,מטה יהודה
בית זית,מטה יהודה
בית מאיר,מטה יהודה
בית נקופה,מטה יהודה
בקוע,מטה יהודה
בר גיורא,מטה יהודה
גבעת יערים,מטה יהודה
גבעת ישעיהו,מטה יהודה
גבעת שמש,מטה יהודה
גיזו,מטה יהודה
גפן,מטה יהודה
דייר ראפאת,מטה יהודה
הראל,מטה יהודה
זכריה,מטה יהודה
זנוח,מטה יהודה
טל שחר,מטה יהודה
יד השמונה,מטה יהודה
ידידה,מטה יהודה
ישעי,מטה יהודה
כסלון,מטה יהודה
כפר אוריה,מטה יהודה
כפר זוהרים,מטה יהודה
לוזית,מטה יהודה
מבוא ביתר,מטה יהודה
מוצא עילית,מטה יהודה
מחסיה,מטה יהודה
מטע,מטה יהודה
מסילת ציון,מטה יהודה
מעלה החמישה,מטה יהודה
נווה אילן,מטה יהודה
נווה מיכאל,מטה יהודה
נווה שלום,מטה יהודה
נחושה,מטה יהודה
נחם,מטה יהודה
נחשון,מטה יהודה
נטף,מטה יהודה
נס הרים,מטה יהודה
"נתיב הל""ה",מטה יהודה
עגור,מטה יהודה
"עין כרם - בי""ס חקלאי",מטה יהודה
עין נקובא,מטה יהודה
עין ראפה,מטה יהודה
עמינדב,מטה יהודה
צובה,מטה יהודה
צור הדסה,מטה יהודה
צלפון,מטה יהודה
צפרירים,מטה יהודה
צרעה,מטה יהודה
קריית יערים (מוסד),מטה יהודה
קריית ענבים,מטה יהודה
רמת רזיאל,מטה יהודה
רמת רחל,מטה יהודה
שדות מיכה,מטה יהודה
שואבה,מטה יהודה
שורש,מטה יהודה
שריגים (לי-און),מטה יהודה
תירוש,מטה יהודה
תעוז,מטה יהודה
תרום,מטה יהודה
אום אל-קוטוף,מנשה
אל-עריאן,מנשה
אלוני יצחק,מנשה
ברקאי,מנשה
גן השומרון,מנשה
גן שמואל,מנשה
כפר גליקסון,מנשה
כפר פינס,מנשה
להבות חביבה,מנשה
מאור,מנשה
מגל,מנשה
מי עמי,מנשה
מייסר,מנשה
מענית,מנשה
מצפה אילן,מנשה
מצר,מנשה
משמרות,מנשה
עין עירון,מנשה
עין שמר,מנשה
קציר,מנשה
רגבים,מנשה
שדה יצחק,מנשה
שער מנשה,מנשה
תלמי אלעזר,מנשה
אבירים,מעלה יוסף
אבן מנחם,מעלה יוסף
אלקוש,מעלה יוסף
גורן,מעלה יוסף
גרנות הגליל,מעלה יוסף
גיתה,מעלה יוסף
הילה,מעלה יוסף
חוסן,מעלה יוסף
יערה,מעלה יוסף
כפר רוזנואלד (זרעית),מעלה יוסף
לפידות,מעלה יוסף
מנות,מעלה יוסף
מעונה,מעלה יוסף
מתת,מעלה יוסף
נווה זיו,מעלה יוסף
נטועה,מעלה יוסף
עבדון,מעלה יוסף
עין יעקב,מעלה יוסף
פקיעין חדשה,מעלה יוסף
צוריאל,מעלה יוסף
שומרה,מעלה יוסף
שתולה,מעלה יוסף
אביבים,מרום הגליל
אור הגנוז,מרום הגליל
אמירים,מרום הגליל
בירייה,מרום הגליל
בר יוחאי,מרום הגליל
"דוב""ב",מרום הגליל
דלתון,מרום הגליל
חזון,מרום הגליל
טפחות,מרום הגליל
כדיתה,מרום הגליל
כלנית,מרום הגליל
כפר חושן,מרום הגליל
כפר חנניה,מרום הגליל
כפר שמאי,מרום הגליל
כרם בן זמרה,מרום הגליל
לבנים,מרום הגליל
מירון,מרום הגליל
עין אל-אסד,מרום הגליל
עלמה,מרום הגליל
עמוקה,מרום הגליל
פרוד,מרום הגליל
ריחאנייה,מרום הגליל
שזור,מרום הגליל
שפר,מרום הגליל
אשבול,מרחבים
אשל הנשיא,מרחבים
בטחה,מרחבים
גילת,מרחבים
מבועים,מרחבים
מסלול,מרחבים
ניר משה,מרחבים
ניר עקיבא,מרחבים
פדויים,מרחבים
פטיש,מרחבים
"פעמי תש""ז",מרחבים
קלחים,מרחבים
רנן,מרחבים
שדה צבי,מרחבים
"תלמי ביל""ו",מרחבים
תפרח,מרחבים
אבטליון,משגב
אשבל,משגב
אשחר,משגב
גילון,משגב
דמיידה,משגב
הררית,משגב
חוסנייה,משגב
חלוץ,משגב
חרשים,משגב
טל-אל,משגב
יובלים,משגב
יודפת,משגב
יעד,משגב
כישור,משגב
כמאנה,משגב
כמון,משגב
לבון,משגב
לוטם,משגב
מורן,משגב
מורשת,משגב
מכמנים,משגב
מנוף,משגב
"מצפה אבי""ב",משגב
סלמה,משגב
עצמון שגב,משגב
ערב אל נעים,משגב
פלך,משגב
צביה,משגב
צורית,משגב
קורנית,משגב
ראס אל-עין,משגב
רקפת,משגב
שורשים,משגב
שכניה,משגב
תובל,משגב
אבו קורינאת,נווה מדבר
ביר הדאג',נווה מדבר
קצר א-סר,נווה מדבר
בית חלקיה,נחל שורק
בני ראם,נחל שורק
גני טל ,נחל שורק
חפץ חיים,נחל שורק
יד בנימין,נחל שורק
יסודות,נחל שורק
נצר חזני,נחל שורק
אלומות,עמק הירדן
אלמגור,עמק הירדן
אפיקים,עמק הירדן
אשדות יעקב (איחוד),עמק הירדן
אשדות יעקב (מאוחד),עמק הירדן
בית זרע,עמק הירדן
גינוסר,עמק הירדן
דגניה א',עמק הירדן
דגניה ב',עמק הירדן
האון,עמק הירדן
חוקוק,עמק הירדן
כנרת (מושבה),עמק הירדן
כנרת (קבוצה),עמק הירדן
מסדה,עמק הירדן
מעגן,עמק הירדן
עין גב,עמק הירדן
פורייה - כפר עבודה,עמק הירדן
פורייה - נווה עובד,עמק הירדן
פורייה עילית,עמק הירדן
רביד,עמק הירדן
שער הגולן,עמק הירדן
תל קציר,עמק הירדן
בית יוסף,עמק המעיינות
גשר,עמק המעיינות
חמדיה,עמק המעיינות
טירת צבי,עמק המעיינות
ירדנה,עמק המעיינות
כפר רופין,עמק המעיינות
מירב,עמק המעיינות
מלכישוע,עמק המעיינות
מנחמיה,עמק המעיינות
מסילות,עמק המעיינות
מעוז חיים,עמק המעיינות
מעלה גלבוע,עמק המעיינות
נווה אור,עמק המעיינות
נווה איתן,עמק המעיינות
ניר דוד (תל עמל),עמק המעיינות
"עין הנצי""ב",עמק המעיינות
רוויה,עמק המעיינות
רחוב,עמק המעיינות
רשפים,עמק המעיינות
שדה אליהו,עמק המעיינות
שדה נחום,עמק המעיינות
שדי תרומות,עמק המעיינות
שלוחות,עמק המעיינות
תל תאומים,עמק המעיינות
אביחיל,עמק חפר
אומץ,עמק חפר
אחיטוב,עמק חפר
אלישיב,עמק חפר
בארותיים,עמק חפר
בורגתה,עמק חפר
בחן,עמק חפר
בית הלוי,עמק חפר
בית חירות,עמק חפר
בית ינאי,עמק חפר
בית יצחק-שער חפר,עמק חפר
ביתן אהרן,עמק חפר
בת חן,עמק חפר
בת חפר,עמק חפר
גאולי תימן,עמק חפר
גבעת חיים (איחוד),עמק חפר
גבעת חיים (מאוחד),עמק חפר
גבעת שפירא,עמק חפר
גן יאשיה,עמק חפר
הדר עם,עמק חפר
המעפיל,עמק חפר
העוגן,עמק חפר
חבצלת השרון,עמק חפר
חגלה,עמק חפר
חופית,עמק חפר
חיבת ציון,עמק חפר
חניאל,עמק חפר
חרב לאת,עמק חפר
יד חנה,עמק חפר
"כפר הרא""ה",עמק חפר
כפר ויתקין,עמק חפר
כפר חיים,עמק חפר
כפר ידידיה,עמק חפר
כפר מונש,עמק חפר
מבואות ים,עמק חפר
מדרשת רופין,עמק חפר
מכמורת,עמק חפר
מעברות,עמק חפר
משמר השרון,עמק חפר
נעורים,עמק חפר
עולש,עמק חפר
עין החורש,עמק חפר
צוקי ים,עמק חפר
שושנת העמקים,עמק חפר
אחוזת ברק,עמק יזרעאל
אלון הגליל,עמק יזרעאל
אלוני אבא,עמק יזרעאל
אלונים,עמק יזרעאל
בית זיד,עמק יזרעאל
בית לחם הגלילית,עמק יזרעאל
בית שערים,עמק יזרעאל
בלפוריה,עמק יזרעאל
גבעת אלה,עמק יזרעאל
גבת,עמק יזרעאל
גזית,עמק יזרעאל
גיניגר,עמק יזרעאל
דברת,עמק יזרעאל
הושעיה,עמק יזרעאל
היוגב,עמק יזרעאל
הסוללים,עמק יזרעאל
הרדוף,עמק יזרעאל
חנתון,עמק יזרעאל
יפעת,עמק יזרעאל
כפר ברוך,עמק יזרעאל
כפר גדעון,עמק יזרעאל
כפר החורש,עמק יזרעאל
כפר יהושע,עמק יזרעאל
מזרע,עמק יזרעאל
מנשית זבדה,עמק יזרעאל
מרחביה (מושב),עמק יזרעאל
מרחביה (קיבוץ),עמק יזרעאל
נהלל,עמק יזרעאל
סוואעד חמיירה,עמק יזרעאל
עדי,עמק יזרעאל
עין דור,עמק יזרעאל
ציפורי,עמק יזרעאל
רמת דוד,עמק יזרעאל
שדה יעקב,עמק יזרעאל
שמשית,עמק יזרעאל
שריד,עמק יזרעאל
תל עדשים,עמק יזרעאל
תמרת,עמק יזרעאל
אחיעזר,עמק לוד
גנות,עמק לוד
זיתן,עמק לוד
חמד,עמק לוד
יגל,עמק לוד
"כפר חב""ד",עמק לוד
משמר השבעה,עמק לוד
ניר צבי,עמק לוד
צפרייה,עמק לוד
ארגמן,ערבות הירדן
בקעות,ערבות הירדן
גיתית,ערבות הירדן
גלגל,ערבות הירדן
חמדת,ערבות הירדן
חמרה,ערבות הירדן
"ייט""ב",ערבות הירדן
יפית,ערבות הירדן
מחולה,ערבות הירדן
מכורה,ערבות הירדן
משואה,ערבות הירדן
משכיות ,ערבות הירדן
נירן,ערבות הירדן
"נעמ""ה",ערבות הירדן
נתיב הגדוד,ערבות הירדן
פצאל,ערבות הירדן
רועי,ערבות הירדן
רותם,ערבות הירדן
שדמות מחולה,ערבות הירדן
תומר,ערבות הירדן
אשלים,רמת נגב
באר מילכה,רמת נגב
טללים,רמת נגב
כמהין,רמת נגב
מדרשת בן גוריון,רמת נגב
מרחב עם,רמת נגב
משאבי שדה,רמת נגב
ניצנה (קהילת חינוך),רמת נגב
ניצני סיני,רמת נגב
עזוז,רמת נגב
רביבים,רמת נגב
רתמים,רמת נגב
שדה בוקר,רמת נגב
בית הגדי,שדות נגב
גבעולים,שדות נגב
זמרת,שדות נגב
זרועה,שדות נגב
יושיביה,שדות נגב
כפר מימון,שדות נגב
מלילות,שדות נגב
מעגלים,שדות נגב
סעד,שדות נגב
עלומים,שדות נגב
שובה,שדות נגב
שוקדה,שדות נגב
שיבולים,שדות נגב
שרשרת,שדות נגב
תושייה,שדות נגב
תקומה,שדות נגב
אבני חפץ,שומרון
איתמר,שומרון
אלון מורה,שומרון
ברוכין,שומרון
ברכה,שומרון
ברקן,שומרון
חיננית,שומרון
חרמש,שומרון
יצהר,שומרון
יקיר,שומרון
כפר תפוח,שומרון
מבוא דותן,שומרון
מגדלים,שומרון
מעלה שומרון,שומרון
נופים,שומרון
סלעית,שומרון
עלי זהב,שומרון
ענב,שומרון
עץ אפרים,שומרון
פדואל,שומרון
צופים,שומרון
קריית נטפים,שומרון
רבבה,שומרון
רחלים,שומרון
ריחן,שומרון
שבי שומרון,שומרון
שערי תקווה,שומרון
שקד,שומרון
אור הנר,שער הנגב
איבים,שער הנגב
ארז,שער הנגב
ברור חיל,שער הנגב
גבים,שער הנגב
דורות,שער הנגב
יכיני,שער הנגב
כפר עזה,שער הנגב
מפלסים,שער הנגב
נחל עוז,שער הנגב
ניר עם,שער הנגב
רוחמה,שער הנגב
אבן שמואל,שפיר
איתן,שפיר
אלומה,שפיר
זבדיאל,שפיר
זרחיה,שפיר
מרכז שפירא,שפיר
משואות יצחק,שפיר
נועם,שפיר
עוזה,שפיר
עין צורים,שפיר
קוממיות,שפיר
רווחה,שפיר
שלווה,שפיר
שפיר,שפיר
הר עמשא,תמר
נאות הכיכר,תמר
נווה זוהר,תמר
עין גדי,תמר
עין תמר,תמר
